,n,predicted,actual
"(0.0114, 0.0576]",354,0.03639051673535404,0.00847457627118644
"(0.0576, 0.135]",354,0.10044584946088314,0.11016949152542373
"(0.135, 0.181]",354,0.16156533816168503,0.1638418079096045
"(0.181, 0.213]",354,0.19721418747161787,0.1553672316384181
"(0.213, 0.25]",353,0.23037858117612856,0.2237960339943343
"(0.25, 0.319]",354,0.27974943127526686,0.2401129943502825
"(0.319, 0.532]",354,0.40855204180649746,0.4096045197740113
"(0.532, 0.886]",354,0.7247633258030313,0.7570621468926554
